,STFIPS,CTFIPS,COUNTY,ST,STATE
1,1,1,Autauga,AL,Alabama
2,1,3,Baldwin,AL,Alabama
3,1,5,Barbour,AL,Alabama
4,1,7,Bibb,AL,Alabama
5,1,9,Blount,AL,Alabama
6,1,11,Bullock,AL,Alabama
7,1,13,Butler,AL,Alabama
8,1,15,Calhoun,AL,Alabama
9,1,17,Chambers,AL,Alabama
10,1,19,Cherokee,AL,Alabama
11,1,21,Chilton,AL,Alabama
12,1,23,Choctaw,AL,Alabama
13,1,25,Clarke,AL,Alabama
14,1,27,Clay,AL,Alabama
15,1,29,Cleburne,AL,Alabama
16,1,31,Coffee,AL,Alabama
17,1,33,Colbert,AL,Alabama
18,1,35,Conecuh,AL,Alabama
19,1,37,Coosa,AL,Alabama
20,1,39,Covington,AL,Alabama
21,1,41,Crenshaw,AL,Alabama
22,1,43,Cullman,AL,Alabama
23,1,45,Dale,AL,Alabama
24,1,47,Dallas,AL,Alabama
25,1,49,DeKalb,AL,Alabama
26,1,51,Elmore,AL,Alabama
27,1,53,Escambia,AL,Alabama
28,1,55,Etowah,AL,Alabama
29,1,57,Fayette,AL,Alabama
30,1,59,Franklin,AL,Alabama
31,1,61,Geneva,AL,Alabama
32,1,63,Greene,AL,Alabama
33,1,65,Hale,AL,Alabama
34,1,67,Henry,AL,Alabama
35,1,69,Houston,AL,Alabama
36,1,71,Jackson,AL,Alabama
37,1,73,Jefferson,AL,Alabama
38,1,75,Lamar,AL,Alabama
39,1,77,Lauderdale,AL,Alabama
40,1,79,Lawrence,AL,Alabama
41,1,81,Lee,AL,Alabama
42,1,83,Limestone,AL,Alabama
43,1,85,Lowndes,AL,Alabama
44,1,87,Macon,AL,Alabama
45,1,89,Madison,AL,Alabama
46,1,91,Marengo,AL,Alabama
47,1,93,Marion,AL,Alabama
48,1,95,Marshall,AL,Alabama
49,1,97,Mobile,AL,Alabama
50,1,99,Monroe,AL,Alabama
51,1,101,Montgomery,AL,Alabama
52,1,103,Morgan,AL,Alabama
53,1,105,Perry,AL,Alabama
54,1,107,Pickens,AL,Alabama
55,1,109,Pike,AL,Alabama
56,1,111,Randolph,AL,Alabama
57,1,113,Russell,AL,Alabama
58,1,115,St. Clair,AL,Alabama
59,1,117,Shelby,AL,Alabama
60,1,119,Sumter,AL,Alabama
61,1,121,Talladega,AL,Alabama
62,1,123,Tallapoosa,AL,Alabama
63,1,125,Tuscaloosa,AL,Alabama
64,1,127,Walker,AL,Alabama
65,1,129,Washington,AL,Alabama
66,1,131,Wilcox,AL,Alabama
67,1,133,Winston,AL,Alabama
68,2,13,Aleutians East,AK,Alaska
69,2,16,Aleutians West,AK,Alaska
70,2,20,Anchorage,AK,Alaska
71,2,50,Bethel,AK,Alaska
72,2,60,Bristol Bay,AK,Alaska
73,2,68,Denali,AK,Alaska
74,2,70,Dillingham,AK,Alaska
75,2,90,Fairbanks North Star,AK,Alaska
76,2,100,Haines,AK,Alaska
77,2,110,Juneau,AK,Alaska
78,2,122,Kenai Peninsula,AK,Alaska
79,2,130,Ketchikan Gateway,AK,Alaska
80,2,150,Kodiak Island,AK,Alaska
81,2,164,Lake and Peninsula,AK,Alaska
82,2,170,Matanuska-Susitna,AK,Alaska
83,2,180,Nome,AK,Alaska
84,2,185,North Slope,AK,Alaska
85,2,188,Northwest Arctic,AK,Alaska
86,2,201,Prince of Wales-Outer Ketchikan,AK,Alaska
87,2,220,Sitka,AK,Alaska
88,2,232,Skagway-Hoonah-Angoon,AK,Alaska
89,2,240,Southeast Fairbanks,AK,Alaska
90,2,261,Valdez-Cordova,AK,Alaska
91,2,270,Wade Hampton,AK,Alaska
92,2,280,Wrangell-Petersburg,AK,Alaska
93,2,282,Yakutat,AK,Alaska
94,2,290,Yukon-Koyukuk,AK,Alaska
95,4,1,Apache,AZ,Arizona
96,4,3,Cochise,AZ,Arizona
97,4,5,Coconino,AZ,Arizona
98,4,7,Gila,AZ,Arizona
99,4,9,Graham,AZ,Arizona
100,4,11,Greenlee,AZ,Arizona
101,4,12,La Paz,AZ,Arizona
102,4,13,Maricopa,AZ,Arizona
103,4,15,Mohave,AZ,Arizona
104,4,17,Navajo,AZ,Arizona
105,4,19,Pima,AZ,Arizona
106,4,21,Pinal,AZ,Arizona
107,4,23,Santa Cruz,AZ,Arizona
108,4,25,Yavapai,AZ,Arizona
109,4,27,Yuma,AZ,Arizona
110,5,1,Arkansas,AR,Arkansas
111,5,3,Ashley,AR,Arkansas
112,5,5,Baxter,AR,Arkansas
113,5,7,Benton,AR,Arkansas
114,5,9,Boone,AR,Arkansas
115,5,11,Bradley,AR,Arkansas
116,5,13,Calhoun,AR,Arkansas
117,5,15,Carroll,AR,Arkansas
118,5,17,Chicot,AR,Arkansas
119,5,19,Clark,AR,Arkansas
120,5,21,Clay,AR,Arkansas
121,5,23,Cleburne,AR,Arkansas
122,5,25,Cleveland,AR,Arkansas
123,5,27,Columbia,AR,Arkansas
124,5,29,Conway,AR,Arkansas
125,5,31,Craighead,AR,Arkansas
126,5,33,Crawford,AR,Arkansas
127,5,35,Crittenden,AR,Arkansas
128,5,37,Cross,AR,Arkansas
129,5,39,Dallas,AR,Arkansas
130,5,41,Desha,AR,Arkansas
131,5,43,Drew,AR,Arkansas
132,5,45,Faulkner,AR,Arkansas
133,5,47,Franklin,AR,Arkansas
134,5,49,Fulton,AR,Arkansas
135,5,51,Garland,AR,Arkansas
136,5,53,Grant,AR,Arkansas
137,5,55,Greene,AR,Arkansas
138,5,57,Hempstead,AR,Arkansas
139,5,59,Hot Spring,AR,Arkansas
140,5,61,Howard,AR,Arkansas
141,5,63,Independence,AR,Arkansas
142,5,65,Izard,AR,Arkansas
143,5,67,Jackson,AR,Arkansas
144,5,69,Jefferson,AR,Arkansas
145,5,71,Johnson,AR,Arkansas
146,5,73,Lafayette,AR,Arkansas
147,5,75,Lawrence,AR,Arkansas
148,5,77,Lee,AR,Arkansas
149,5,79,Lincoln,AR,Arkansas
150,5,81,Little River,AR,Arkansas
151,5,83,Logan,AR,Arkansas
152,5,85,Lonoke,AR,Arkansas
153,5,87,Madison,AR,Arkansas
154,5,89,Marion,AR,Arkansas
155,5,91,Miller,AR,Arkansas
156,5,93,Mississippi,AR,Arkansas
157,5,95,Monroe,AR,Arkansas
158,5,97,Montgomery,AR,Arkansas
159,5,99,Nevada,AR,Arkansas
160,5,101,Newton,AR,Arkansas
161,5,103,Ouachita,AR,Arkansas
162,5,105,Perry,AR,Arkansas
163,5,107,Phillips,AR,Arkansas
164,5,109,Pike,AR,Arkansas
165,5,111,Poinsett,AR,Arkansas
166,5,113,Polk,AR,Arkansas
167,5,115,Pope,AR,Arkansas
168,5,117,Prairie,AR,Arkansas
169,5,119,Pulaski,AR,Arkansas
170,5,121,Randolph,AR,Arkansas
171,5,123,St. Francis,AR,Arkansas
172,5,125,Saline,AR,Arkansas
173,5,127,Scott,AR,Arkansas
174,5,129,Searcy,AR,Arkansas
175,5,131,Sebastian,AR,Arkansas
176,5,133,Sevier,AR,Arkansas
177,5,135,Sharp,AR,Arkansas
178,5,137,Stone,AR,Arkansas
179,5,139,Union,AR,Arkansas
180,5,141,Van Buren,AR,Arkansas
181,5,143,Washington,AR,Arkansas
182,5,145,White,AR,Arkansas
183,5,147,Woodruff,AR,Arkansas
184,5,149,Yell,AR,Arkansas
185,6,1,Alameda,CA,California
186,6,3,Alpine,CA,California
187,6,5,Amador,CA,California
188,6,7,Butte,CA,California
189,6,9,Calaveras,CA,California
190,6,11,Colusa,CA,California
191,6,13,Contra Costa,CA,California
192,6,15,Del Norte,CA,California
193,6,17,El Dorado,CA,California
194,6,19,Fresno,CA,California
195,6,21,Glenn,CA,California
196,6,23,Humboldt,CA,California
197,6,25,Imperial,CA,California
198,6,27,Inyo,CA,California
199,6,29,Kern,CA,California
200,6,31,Kings,CA,California
201,6,33,Lake,CA,California
202,6,35,Lassen,CA,California
203,6,37,Los Angeles,CA,California
204,6,39,Madera,CA,California
205,6,41,Marin,CA,California
206,6,43,Mariposa,CA,California
207,6,45,Mendocino,CA,California
208,6,47,Merced,CA,California
209,6,49,Modoc,CA,California
210,6,51,Mono,CA,California
211,6,53,Monterey,CA,California
212,6,55,Napa,CA,California
213,6,57,Nevada,CA,California
214,6,59,Orange,CA,California
